Item Code,Item Description,Price,Image Filename
115020,PREMIUM BELGIUM EGG OPEN BLACK WITH TOUCH OF WHITE WAFER KGS,130,115020.jpg
115019,PREMIUM BELGIUM EGG OPEN WHITE WITH TOUCH OF BLACK WAFER KGS,130,115019.jpg
115018,PREMIUM ITALIAN WRAPPED 100% DARK CHOCOLATE KG,160,115018.jpg
115017,PREMIUM PETIT FOUR WRAPPED BISCUIT & CHOCOLATE& MILK & NUTS KG,140,115017.jpg
115016,PREMIUM BAKLAWA OPEN SQUARE MAD WALNUT KGS,160,115016.jpg
